DICIONARIO,,,,,,,,,,
PALAVRA/SINGULAR,,SIGNIFICADO/TRADUÇÃO,,CLASE,,PLURAL,,PRONÚNCIA,USO,AMBIENTE
Gojifota,,Fração matemática / Pedaço cortado,,Subst. Masc.,,,,,Goji (Parte) + Fota (Dividir).,
Gojina,,A melhor parte (da comida ou tesouro),,Subst. Masc.,,,,,Goji (Parte) + Na (Bom).,
Basikaia,,Subsolo / Porão / Adega,,Subst. Neutro,,,,,Basi (Fundo) + Kaia (Terra).,
Fotikama,,Sombra / O lado escuro,,Subst. Masc.,,,,,Foti (Lado) + Kama (Escuro).,
Kimina,,Cor viva / Tom brilhante,,Subst. Fem.,,,,,Kimi (Cor) + Na (Bom/Forte).,
Tariromi,,Jogador / Apostador / Trapaceiro,,Subst. Masc.,,,,,Tari (Jogo) + Romi (Homem).,
Sorimina,,Remorso / Peso na consciência,,Subst. Fem.,,,,,Sori (Culpa) + Mina (Mente).,
Vojisaja,,Confissão absoluta,,Subst. Fem.,,,,,Voji (Certo) + Saja (Falar).,
Pokimina,,Engano / Ilusão mental,,Subst. Fem.,,,,,Poki (Errado) + Mina (Mente).,
Hatihuo,,Logo cedo pela manhã,,Advérbio,,,,,Hati (Cedo) + Huo (Dia).,
Lutiushē,,Altas horas da noite,,Advérbio,,,,,Luti (Tarde) + Ushē (Noite).,
Ganito,,Terreno baldio / Descampado,,Subst. Masc.,,,,,Gani (Vazio) + To (Local).,
Tebahebsa,,Guarda-roupa / Baú de roupas,,Subst. Fem.,,,,,Teba (Caixa) + Hebsa (Roupa).,
Lafibenipa,,Ferramenta de ferro duro,,Subst. Fem.,,,,,Lafi (Ferramenta) + Benipa (Ferro).,
Samirompa,,Destino / O Fio da Vida,,Subst. Masc.,,,,,Sami (Fio) + Rompa (Ano/Ciclo).,
Mojioika,,Refeição misturada / Ensopado,,Subst. Neutro,,,,,Moji (Mistura) + Oika (Comida).,
Tasiromi,,Exército em marcha / Batalhão,,Subst. Masc.,,,,,Tasi (Fila) + Romi (Homens).,
Boritona,,Litoral / A borda do mapa,,Subst. Fem.,,,,,Bori (Borda) + Tona (Onde/Local).,
Gurialu,,Recém-nascido (Filho do rei ou povo),,Subst. Neutro,,,,,Guri (Bebê) + Alu (Jovem).,
Torigoba,,Graveto / Madeira para fogo,,Subst. Masc.,,,,,Tori (Galho) + Goba (Seco).,
Vorina,,Fruto maduro / Suculento,,Subst. Neutro,,,,,Vori (Fruto) + Na (Bom).,
Kolikaia,,Trincheira de guerra,,Subst. Masc.,,,,,Koli (Buraco) + Kaia (Terra).,
Garimōa,,Cântaro de água,,Subst. Masc.,,,,,Gari (Vaso) + Mōa (Água).,
Barishea,,Cesto trançado de madeira,,Subst. Fem.,,,,,Bari (Cesta) + Shea (Madeira).,
Miritia,,Oferenda / Dar presente,,Verbo,,,,,Miri (Presente) + Tia (Dar).,
Taliromi,,Homem conservador / Tradicional,,Subst. Masc.,,,,,Tali (Costume) + Romi (Homem).,
Salimaa,,Promessa verdadeira (Inquebrável),,Subst. Fem.,,,,,Sali (Palavra) + Maa (Verdade).,
Hiliwoba,,Pena branca (Símbolo de rendição),,Subst. Fem.,,,,,Hili (Pena) + Woba (Branco).,
Vililashan,,Prefeito da aldeia,,Subst. Masc.,,,,,Vili (Aldeia) + Lashan (Líder).,
Silishea,,Banco de praça / Assento comum,,Subst. Masc.,,,,,Sili (Banco) + Shea (Madeira).,
Dilimata,,Prego e martelo (Construção bruta),,Subst. Masc.,,,,,Dili (Prego) + Mata (Martelo).,
Ziliaia,,Chiqueiro / Estábulo sujo,,Subst. Fem.,,,,,Zili (Sujeira) + Aia (Casa).,
Joameto,,Ideia / Pensamento criativo,,Subst. Neutro,,,,,Joa (Cabeça) + Meto (Coisa).,
Romijaja,,Rival pessoal / Antagonista,,Subst. Masc.,,,,,Romi (Homem) + Jaja (Inimigo).,
Shibramina,,Confiança mútua / Sintonia,,Subst. Fem.,,,,,Shibra (Amigo) + Mina (Mente).,
Totameto,,Utensílio manual pequeno,,Subst. Neutro,,,,,Tota (Mão) + Meto (Coisa).,
Roaoika,,Lanche rápido / Mordida,,Subst. Neutro,,,,,Roa (Boca) + Oika (Comida).,
Ratafari,,Trilha a pé / Caminho no mato,,Subst. Fem.,,,,,Rata (Pé) + Fari (Caminho).,
Joaklo,,Ignorância / Teimosia mental,,Subst. Fem.,,,,,Joa (Cabeça) + Klo (Fechar).,
Joaaba,,Epifania / Iluminação de ideia,,Subst. Fem.,,,,,Joa (Cabeça) + Aba (Abrir).,
Tumbkash,,Fome / Dor estomacal,,Subst. Masc.,,,,,Tumb (Barriga) + Kash (Dor).,
Mōaua,,Sede severa,,Subst. Fem.,,,,,Mōa (Água) + Ua (Querer).,
Balaklo,,Sono profundo (Ato de dormir),,Subst. Masc.,,,,,Bala (Olho) + Klo (Fechar).,
Fakashota,,Corte / Ferida de adaga,,Subst. Masc.,,,,,Faka (Faca) + Shota (Cortar).,
Jomajia,,Estudante / Aprendiz de sábio,,Subst. Masc.,,,,,Joma (Livro) + Jia (Pegar).,
Kotafia,,Bife / Carne feita no fogo,,Subst. Neutro,,,,,Kota (Fogo) + Afia (Carne).,
Mōajafa,,Água gelada,,Subst. Neutro,,,,,Mōa (Água) + Jafa (Frio).,
Shuahe,,Fuligem / Cinza de teto,,Subst. Masc.,,,,,Shua (Fumaça) + He (Cair).,
Oikabaza,,Mercearia / Tenda de comida,,Subst. Fem.,,,,,Oika (Comida) + Baza (Mercado).,
Hebsabaza,,Loja de tecidos e roupas,,Subst. Fem.,,,,,Hebsa (Roupa) + Baza (Mercado).,
Totaraha,,Ato de lavar as mãos (Limpeza),,Subst. Masc.,,,,,Tota (Mão) + Raha (Lavar).,
Bokaromi,,Viajante que parte / Peregrino,,Subst. Masc.,,,,,Boka (Partir) + Romi (Homem).,
Eiaromi,,Hóspede / Recém-chegado,,Subst. Masc.,,,,,Eia (Chegar) + Romi (Homem).,
Sunaia,,Escola / Centro de ensino,,Subst. Fem.,,,,,Suna (Saber) + Aia (Casa).,
Meuaaia,,Templo de meditação,,Subst. Fem.,,,,,Meua (Pensar) + Aia (Casa).,
Natameto,,Amuleto de confiança (Presente),,Subst. Neutro,,,,,Nata (Confiar) + Meto (Coisa).,
Roshamato,,Guarda-costas pessoal,,Subst. Masc.,,,,,Rosha (Servir) + Mato (Soldado).,
Hapato,,Esconderijo / Zona segura,,Subst. Masc.,,,,,Hapa (Oculto) + To (Local).,
Sanaromi,,Enfermeiro(a),,Subst. Masc.,,,,,Sana (Socorrer) + Romi (Homem/Pessoa).,
Nukameto,,Objeto perdido e não achado,,Subst. Neutro,,,,,Nuka (Perder) + Meto (Coisa).,
Hotaka,,Esforço imenso / Sangue e suor,,Subst. Masc.,,,,,Hota (Esforçar) + Ka (Alma).,
Yaramosha,,Ação de navegar os mares,,Verbo,,,,,Yara (Barco) + Mosha (Andar).,
Velatiu,,Velejar a favor do vento,,Verbo,,,,,Vela + Tiu (Vento).,
Pashjom,,Remar com força bruta,,Verbo,,,,,Pash (Remo) + Jom (Força).,
Mapugria,,Cartógrafo,,Subst. Masc.,,,,,Mapu (Mapa) + Gria (Escrever).,
Brahebsa,,Manga de camisa ou armadura,,Subst. Fem.,,,,,Bra (Braço) + Hebsa (Roupa).,
Venaratis,,Bota de cano longo (Montaria),,Subst. Fem.,,,,,Vena (Perna) + Ratis (Bota).,
Nipashota,,Mordida animal,,Subst. Fem.,,,,,Nipa (Dente) + Shota (Cortar).,
Koujito,,Distrito / Província,,Subst. Masc.,,,,,Aglutinação: Kouji (Pequeno) + To (País/Território).,
Rutia,,Barulho / Som alto,,Subst. Fem.,,,,,Raiz nova. Som caótico e desordenado.,
Baki,,Cidade (Tamanho médio/grande),,Subst. Fem.,,,,,Raiz Copta pura (Baki). Preenche o salto entre Vili (Aldeia) e Joato (Capital).,
Sulisaja,,Influência / Legado,,Subst. Fem.,,,,,"Aglutinação: Suli (Rastro) + Saja (Falar). ""O rastro que fala/dita o estilo"".",
Kauto,,Centro / Região Central,,Subst. Masc.,,,,,Aglutinação: Kau (Meio) + To (Local).,
Shator,,Caos / Desordem mágica,,Subst. Masc.,,,,,Raiz nova. Som áspero para a força destrutiva de Hering.,
Hekashime,,Bruxa / Feiticeira profana,,Subst. Fem.,,,,,Aglutinação: Heka (Magia) + Shime (Mulher/Copta).,
Urokoti,,Prédio do governo / Paço,,Subst. Neutro,,,,,Aglutinação: Uro (Rei) + Koti (Construção).,
Takalafi,,Arma (Qualquer tipo),,Subst. Fem.,,,,,"Taka (Atacar) + Lafi (Ferramenta). ""A ferramenta de ataque"".",
Fotia,,Separação / Divisão (Evento),,Subst. Fem.,,,,,Derivado de Fota (Dividir) com o sufixo -ia de evento.,
Biramosha,,Atravessar / Cruzar,,Verbo,,,,,Bira (Através) + Mosha (Caminhar).,
Kashsuli,,Cicatriz / Marca de guerra,,Subst. Fem.,,,,,"Kash (Dor) + Suli (Rastro). ""O rastro da dor"".",
Obshina,,Esquecido / Há muito perdido,,Adjetivo,,,,,Obshia (Esquecer) + sufixo descritivo -na.,
Sokiana,,Costeiro / Litorâneo,,Adjetivo,,,,,Sokia (Praia/Costa) + -na.,
Matuna,,Pacato / Pacífico,,Adjetivo,,,,,Matu (Paz) + -na.,
Shopia,,Acontecer / Ocorrer,,Verbo,,,,,Derivado de Shopa (Estar/Existir) -> Passar a existir.,
Sajia,,Conto / Lenda contada,,Subst. Fem.,,,,,Saja (Falar/Dizer) + -ia (Objeto de). A história falada.,
Ehroyoma,,Além-mar / Transoceânico,,Subst./Adj.,,,,,Ehro (Além) + Yoma (Mar).,
Katia,,Preparar / Organizar,,Verbo,,,,,Raiz nova.,
Lukia,,Simbolizar / Representar,,Verbo,,,,,"Luki (Forma/Aparência) + -ia (Verbo). ""Dar forma a"".",
Telo,,Liberdade / Emancipação,,Subst. Fem.,,,,,Raiz nova (Baseada no conceito de fim/libertação).,
Ahaiameto,,Conquista / Triunfo (Feito),,Subst. Neutro,,,,,Ahaia (Triunfar/Vencer) + Meto (Coisa/Fato).,
Tasishilel,,Procissão / Marcha religiosa,,Subst. Fem.,,,,,"Tasi (Fila) + Shilel (Oração). ""A fila que ora"".",
Miritami,,Oferenda sagrada,,Subst. Fem.,,,,,"Miri (Presente) + Tami (Fazer/Preparar). ""O presente preparado"".",
Talishilel,,Rito / Ritual cerimonial,,Subst. Masc.,,,,,Tali (Costume) + Shilel (Oração).,
Lukimeto,,Sinal / Símbolo,,Subst. Neutro,,,,,"Luki (Forma) + Meto (Coisa). ""Coisa que dá forma a uma ideia"".",
Amotana,,Gratidão,,Subst. Fem.,,,,,Amota (Obrigado) + Na (Bem/Sentimento bom).,
Nefina,,Enfeitado / Ornamentado,,Adjetivo,,,,,Nefa (Belo) + -ina (Sufixo de estado/ser).,
Tashia,,Espalhar / Disseminar,,Verbo,,,,,Derivado da raiz Copta Tashi (Multiplicar).,
Erpeia,,A Igreja (A Instituição),,Subst. Fem.,,,,,Erpe (Templo físico) + -ia (Lugar expansivo/Instituição).,
Unato,,Horário local / Fuso horário,,Subst. Neutro,,,,,Una (Hora) + To (Local/Território).,
Garimeto,,Vaso / Receptáculo sagrado,,Subst. Masc.,,,,,Gari (Pote/Vaso) + Meto (Coisa).,
Polaia,,Derramar / Verter líquidos,,Verbo,,,,,"Pola (Fluir) + -ia (Fazer a ação). ""Fazer fluir"".",
Farijia,,Guia / Aquele que conduz,,Subst. Masc.,,,,,"Fari (Caminho/Método) + Jia (Pegar). ""Aquele que pega o caminho"".",
Semakoto,,Ressoar / Ecoar,,Verbo,,,,,"Sema (Voz) + Koto (Voltar). ""A voz que volta"".",
Jiaromi,,O Escolhido / Eleito,,Subst. Masc.,,,,,Jia (Pegar/Escolher) + Romi (Homem).,
Uroia,,Reinar / Governar,,Verbo,,,,,Uro (Rei) + -ia (Verbo).,
Smaito,,Altar de Bênçãos / Santuário,,Subst. Masc.,,,,,Smai (Bênção) + To (Lugar).,
Karu,,Silêncio,,Subst. Masc.,,,,,"Som abafado, curto. A ausência de ruído (Rutia).",
Vasho,,Aclamar / Louvar,,Verbo,,,,,Ação coletiva de erguer a voz em aprovação.,
Zoru,,Atento / Focado,,Adjetivo,,,,,Um olhar cortante e direcionado.,
Vabu,,Estranho / Esquisito / Bizarro,,Adjetivo,,,,,Algo fora da ordem natural das coisas.,
Beli,,Sino / Badalo,,Subst. Masc.,,,,,Raiz onomatopeica universal (lembra o bater do metal).,
Doni,,Soar / Tocar (instrumento/sino),,Verbo,,,,,Som grave e contínuo.,
Ruzo,,Incomum / Fora do padrão,,Adjetivo,,,,,"Descreve algo raro, mas no sentido de rotina quebrada.",
Nivu,,Imaturo / Inocente,,Adjetivo,,,,,"Fresco, intocado pelo mundo.",
Puru,,Exatamente / Com precisão,,Advérbio,,,,,"Certeza cirúrgica, sem margem para erro.",
Furu,,Apressar-se / Correr em pânico,,Verbo,,,,,Movimento desordenado e rápido.,
Naru,,Anunciar / Declarar em público,,Verbo,,,,,Ação oficial de falar (Saja) para uma multidão.,
Pedu,,Acreditar / Ter fé em algo,,Verbo,,,,,Diferente de saber (Suna); é aceitar algo que não se vê.,
Jedu,,Avançar / Marchar adiante,,Verbo,,,,,Movimento firme e pesado.,
Kruma,,Ruína / Destroços,,Subst. Fem.,,,,,O som de pedra e madeira desmoronando e cedendo ao tempo.,
Shiku,,Entrar em pânico / Assustar-se,,Verbo,,,,,Ação incontrolável provocada pelo medo (Huma).,
Foku,,Corromper / Contaminar,,Verbo,,,,,Raiz nova. O ato da magia do caos entrar em algo.,
Boku,,Colar / Gargantilha,,Subst. Masc.,,,,,Raiz nova. Joia usada ao redor do pescoço.,
Onakama,,Obsidiana,,Subst. Fem.,,,,,Aglutinação fluida: Ona (Pedra) + Kama (Negra).,
Moro,,Espectro / Aparição,,Subst. Masc.,,,,,"Raiz nova. Um fantasma tangível e hostil, diferente de Kashua.",
Pizu,,Sombrio / Macabro,,Adjetivo,,,,,Raiz nova. A atmosfera de algo amaldiçoado.,
Doku,,Vassalo / Lacaio,,Subst. Masc.,,,,,Raiz nova. Um servo sem vontade própria.,
Garu,,Guardar / Vigiar (um ponto),,Verbo,,,,,Raiz nova. Diferente de Nahta (Proteger no combate).,
Saru,,Corpo (Físico / Carne),,Subst. Masc.,,,,,"Raiz nova. A totalidade física, viva ou morta.",
Taru,,Barreira mágica / Campo de força,,Subst. Fem.,,,,,Raiz nova. Uma parede invisível criada por feitiço.,
Dalu,,Eficaz / Potente / Útil,,Adjetivo,,,,,Raiz nova. Quando uma magia ou arma funciona perfeitamente.,
Radu,,Exaurir / Consumir energia,,Verbo,,,,,Raiz nova. O desgaste que a magia causa no Kajom.,
Zaru,,Raio / Área de efeito,,Subst. Masc.,,,,,Raiz nova. O limite espacial de um feitiço ou explosão.,
Kuzu,,Tumulto / Pânico geral,,Subst. Masc.,,,,,Raiz nova. O caos de uma multidão desesperada.,
Vidu,,Desfigurado / Aberração,,Adjetivo,,,,,Raiz nova. Algo cuja forma original foi destruída.,
Vilu,,Aura / Emanação mística,,Subst. Fem.,,,,,Raiz nova. A presença mágica que um ser exala.,
Uerash,,Quantidade / Número,,Subst. Neutro,,,,,Aglutinação: Uer (Quantos) + Asha (O que).,
Hauia,,Aumentar / Crescer,,Verbo,,,,,Aglutinação: Hau (Mais) + -ia (Verbo).,
Horfeno,,Sobrecarregado / Pesado demais,,Adjetivo,,,,,Aglutinação: Hor (Pesado) + Feno (Demais).,
Shkom,,Conseguir / Ser capaz,,Verbo,,,,,Raiz Copta Pura: Shkom (Poder/Habilidade).,
Tajro,,Estável / Firme / Sólido,,Adjetivo,,,,,Raiz Copta Pura: Tajro (Firmeza).,
Jomhap,,Custo / Esforço extremo,,Subst. Masc.,,,,,Justaposição: Jom (Força) + Hap (Raiz Copta para julgamento/dívida).,
Klotaru,,Selar / Tampar fissura mágica,,Verbo,,,,,Justaposição: Klo (Fechar) + Taru (Barreira).,
Zanmeto,,Inútil / Sem valor,,Adjetivo,,,,,"Aglutinação: Zan (Nada) + Meto (Coisa). ""Coisa de nada"".",
Ahara,,Postura / Posição de Batalha,,Subst. Fem.,,,,,Raiz Copta Pura: Aher (Ficar de pé/Erguer-se).,
Uobata,,Purificação / Santificação,,Subst. Fem.,,,,,Aglutinação: Uoba (Puro/Sagrado) + -ta (Ação).,
Hekajia,,Catalisador Mágico (Objeto),,Subst. Neutro,,,,,Justaposição: Heka (Magia) + Jia (Pegar/Canalizar).,
Sajaheka,,Encantamento / Feitiço falado,,Subst. Neutro,,,,,Justaposição: Saja (Falar) + Heka (Magia).,
Tobi,,Clamor / Súplica / Prece,,Subst. Masc.,,,,,Raiz Copta Pura: Tōbh (Rezar/Implorar).,
Naeik,,Piedade / Misericórdia,,Subst. Fem.,,,,,Raiz Copta Pura: Nae (Misericórdia).,
Tiameto,,Dádiva / Doação divina,,Subst. Fem.,,,,,Justaposição: Tia (Dar) + Meto (Coisa).,
Mokash,,Aflito / Sofredor,,Subst. Masc.,,,,,Aglutinação: Muki (Tristeza) + Kash (Dor).,
Nujabol,,Expulsar / Banir / Expurgar,,Verbo,,,,,Aglutinação: Nuja (Jogar) + Abol (Para fora).,
Polashan,,Escorrer / Gotejar,,Verbo,,,,,"Aglutinação: Pola (Fluir) + Shan (Pouco). ""Fluir pouco"".",
Kheni,,Pescoço / Garganta,,Subst. Masc.,,,,,Raiz Copta Pura: Khēni (Pescoço).,
Treshnofa,,Carmesim / Vermelho Sangue,,Adjetivo,,,,,Justaposição: Tresha (Vermelho) + Senofa (Sangue).,
Toki,,Cravar / Fincar / Perfurar,,Verbo,,,,,Raiz Copta Pura: Tōch (Plantar/Fixar).,
Ershibi,,Transformar-se / Mudar de forma,,Verbo,,,,,Raiz Copta: Er-shibi (Tornar-se/Mudar).,
Mishakoia,,Campo de Batalha,,Subst. Neutro,,,,,Aglutinação: Misha (Batalha) + Koia (Campo).,
Bokamato,,Aventureiro / Mercenário,,Subst. Masc.,,,,,"Aglutinação: Boka (Viajar/Partir) + Mato (Guerreiro). ""Guerreiro viajante"".",
Shanshan,,Aos poucos / Gradualmente,,Advérbio,,,,,Justaposição: Shan + Shan (Pouco a pouco).,
Munatako,,Carnificina / Massacre absoluto,,Subst. Masc.,,,,,Aglutinação: Muna (Morte) + Tako (Destruição).,
Stato,,Tremer / Estremecer de medo,,Verbo,,,,,Raiz Copta Pura: Stōt (Tremor/Pavor).,
Hosh,,Pavor / Terror absoluto,,Subst. Masc.,,,,,Raiz Copta Pura: Hosh (Medo extremo). Diferente de Huma (medo comum).,
Takaeia,,Invadir / Arrombar,,Verbo,,,,,"Aglutinação: Taka (Atacar) + Eia (Entrar/Vir). ""Entrar atacando"".",
Kashfeno,,Agonizante / Doloroso ao extremo,,Adjetivo,,,,,Aglutinação: Kash (Dor) + Feno (Demais/Excesso).,
Porju,,Estendido no chão / Prostrado,,Adjetivo,,,,,Raiz Copta Pura: Derivado de Pōrsh (Espalhar/Esticar).,
Hai,,Marido / Esposo,,Subst. Masc.,,,,,Raiz Copta Pura: Hai (Marido).,
Himi,,Esposa / Mulher casada,,Subst. Fem.,,,,,Raiz Copta Pura: Variação de Shime (Mulher).,
Minahe,,Transe / Choque mental / Trauma,,Subst. Fem.,,,,,"Aglutinação: Mina (Mente) + He (Cair). ""Queda da mente"".",
Nukabol,,Desaparecer / Sumir da vista,,Verbo,,,,,"Aglutinação: Nuka (Perder) + Abol (Para fora). ""Perder-se para fora"".",
Sheayoma,,Cais / Píer de madeira,,Subst. Masc.,,,,,Aglutinação: Shea (Madeira) + Yoma (Mar).,
Bolo,,Soltar / Afrouxar (Corda ou aperto),,Verbo,,,,,Raiz Copta Pura: Bōl (Soltar/Desatar).,
Sohu,,Acertar / Atingir em cheio,,Verbo,,,,,Raiz Copta Pura: Sōh (Atingir alvo).,
Khibi,,Silhueta / Vulto sombrio,,Subst. Fem.,,,,,Raiz Copta Pura: Khēbi (Sombra).,
Nahmu,,Salvo / Resgatado do perigo,,Adjetivo,,,,,Raiz Copta Pura: Nahm (Salvar).,
Korajom,,Bravura / Força heroica,,Subst. Fem.,,,,,Aglutinação: Kora (Coragem) + Jom (Força).,
Nahtaromi,,Defensor / Guarda,,Subst. Masc.,,,,,Aglutinação: Nahta (Proteger) + Romi (Homem/Pessoa).,
Amatasi,,Sustentar a linha / Manter posição,,Verbo,,,,,Aglutinação: Ama (Segurar) + Tasi (Fila/Linha).,
Mishamesh,,Exército / Legião,,Subst. Masc.,,,,,Aglutinação: Misha (Batalha) + Mesha (Multidão).,
Artēmato,,Guerreiro de Elite,,Subst. Masc.,,,,,Justaposição: Artē (Alto/Supremo) + Mato (Guerreiro).,
Takahe,,Subjugar / Derrubar atacando,,Verbo,,,,,Aglutinação: Taka (Atacar) + He (Cair).,
Klora,,Encurralar / Cercar,,Verbo,,,,,Raiz Copta Pura: Klōr (Cercar/Envolver).,
Mashu,,Pilha / Montante de algo,,Subst. Fem.,,,,,Raiz Copta Pura: Mash (Monto).,
Metonuter,,Artefato divino / Relíquia,,Subst. Neutro,,,,,Aglutinação: Meto (Coisa) + Nuter (Divina).,
Nebjia,,Portador (de uma arma/artefato),,Subst. Masc.,,,,,"Aglutinação: Neba (Lorde/Dono) + Jia (Pegar). ""O dono que carrega"".",
Nukana,,Desaparecido / Perdido em combate,,Adjetivo,,,,,Aglutinação: Nuka (Perder) + -na.,
Gematasi,,Busca / Patrulha de resgate,,Subst. Fem.,,,,,Aglutinação: Gema (Encontrar) + Tasi (Fila militar).,
Koujimesh,,Esquadrão / Destacamento,,Subst. Masc.,,,,,Aglutinação: Kouji (Pequeno) + Mesha (Multidão/Grupo).,
Matokau,,Sargento / Oficial intermediário,,Subst. Masc.,,,,,Aglutinação: Mato (Guerreiro) + Kau (Meio).,
Seshalu,,Acólito / Aprendiz religioso,,Subst. Masc.,,,,,Aglutinação: Sesha (Sacerdote) + Alu (Jovem).,
Shorpi,,Documento amontoado / Relatório,,Subst. Masc.,,,,,Raiz Copta Pura: Shōrp (Escritos iniciais).,
Matartē,,Suboficial Maior / Comandante-Geral,,Subst. Masc.,,,,,Aglutinação: Mato (Guerreiro) + Artē (Supremo).,
Peduan,,Incrédulo / Cético,,Adjetivo,,,,,Aglutinação: Pedu (Acreditar) + An (Não).,
Metouroto,,Assunto de Estado / Segredo Real,,Subst. Neutro,,,,,Aglutinação: Meto (Assunto) + Uroto (Império).,
Mataia,,Autonomia / Poder soberano,,Subst. Fem.,,,,,Nova Raiz: Ligado ao poder de ação independente.,
Renromi,,Plebeu / Homem comum,,Subst. Masc.,,,,,Aglutinação: Renia (Comum) + Romi (Homem).,
Nishasiu,,Era/tempo historico,,Subst. Neutro,,,,,"(Aglutinação: Nisha [Grande] + Siu [Tempo]). Significaria literalmente ""O Grande Tempo""",
Aion,,Era,,Subst. Neutro,,,,,Nova Raiz derivada do Copta/Grego antigo Aiōn,
Yomasuri,,Mar Primordial / A Origem,,Subst. Masc.,,,,,"Aglutinação: Yoma (Mar) + Suri (Relacionado a Sura, origem/morte do vazio).",
Bikmuni,,Árvore Cósmica / Árvore da Vida,,Subst. Fem.,,,,,Raiz Inédita. Termo sagrado e mitológico.,
Snavioha,,Fenômeno das Duas Luas / Alinhamento,,Subst. Neutro,,,,,Snava (Dois) + Ioha (Lua).,
Iohabera,,Lua Nova / Início do Ciclo,,Subst. Fem.,,,,,Ioha (Lua) + Bera (Nova).,
Iohapasa,,Lua Minguante / Fim do Ciclo,,Subst. Fem.,,,,,Ioha (Lua) + Pasa (Velha).,
Tepiana,,Zênite / O topo do céu,,Subst. Masc.,,,,,Tepia (Céu) + -na (Sufixo de grandeza).,
Nemsi,,Cometa / Estrela Viajante,,Subst. Fem.,,,,,Raiz Copta pura para cometa/meteoro.,
Astraia,,Plano Místico / Mundo Espiritual,,Subst. Neutro,,,,,Derivado do nome sagrado Astra Lumina.,
Kajomia,,Meditar / Recuperar mana,,Verbo,,,,,Kajom (Mana) + -ia (Ação de fazer).,
Nunaheka,,Linha de Ley / Nascente Mágica,,Subst. Fem.,,,,,Nuna (Raiz/Fonte) + Heka (Magia).,
Refato,,Palco / Arena de Música,,Subst. Masc.,,,,,Refa (Bardo/Músico) + To (Lugar).,
Gurajom,,Refrão / Clímax da Canção,,Subst. Neutro,,,,,Gura (Canção) + Jom (Força/Poder).,
Tasisema,,Coro Musical / Conjunto de Vozes,,Subst. Fem.,,,,,Tasi (Fila/Linha) + Sema (Voz).,
Samisema,,Instrumento de Cordas (ex: Alaúde),,Subst. Neutro,,,,,Sami (Fio/Corda) + Sema (Voz).,
Kufasema,,Tambor / Instrumento de Percussão,,Subst. Neutro,,,,,Kufa (Bater/Socar) + Sema (Voz).,
Nifsema,,Flauta / Instrumento de Sopro,,Subst. Neutro,,,,,Nif (Sopro) + Sema (Voz).,
Gurirompa,,Bardo Prodígio / Jovem Ídolo,,Subst. Masc.,,,,,Guri (Jovem) + Rompa (Ano/Tempo).,
Diragura,,Elegia / Canção de Luto,,Subst. Fem.,,,,,Dira (Dor/Luto) + Gura (Canção).,
Semaia,,Compor / Criar Música,,Verbo,,,,,Ação derivada de Sema (Voz).,
Lishagura,,Canção de Taverna / Música de Dança,,Subst. Fem.,,,,,Lisha (Rir/Festejar) + Gura (Canção).,
Urosaja,,Decreto Real / Édito,,Subst. Neutro,,,,,Uro (Rei) + Saja (Fala). A palavra do Rei.,
Matutala,,Tratado de Paz,,Subst. Neutro,,,,,Matu (Paz) + Tala (Promessa).,
Toraia,,Posto de Fronteira / Alfândega,,Subst. Fem.,,,,,Tora (Fronteira) + Aia (Casa).,
Hapasuna,,Espionagem / Informação Secreta,,Subst. Fem.,,,,,Hapa (Oculto) + Suna (Saber).,
Nebaia,,Conselho dos Lordes / Senado,,Subst. Neutro,,,,,Neba (Lorde) + Aia (Casa).,
Jolmazato,,Corrupção / Suborno Político,,Subst. Fem.,,,,,Jol (Mentira) + Mazato (Tribunal).,
Eshotia,,Guilda Comercial,,Subst. Fem.,,,,,Eshot (Comerciante) + Aia (Casa/Sede).,
Zavaia,,Banco / Cofre do Reino,,Subst. Fem.,,,,,Zava (Riqueza) + Aia (Casa).,
Urotobori,,As Terras Selvagens / Ermos da Fronteira,,Subst. Fem.,,,,,Uroto (Reino) + Bori (Borda/Fim).,
Romiuro,,Embaixador / Diplomata,,Subst. Masc.,,,,,Romi (Homem) + Uro (Rei). O homem do rei.,
Tebtakruk,,Leviatã / Grande Fera Marinha,,Subst. Neutro,,,,,Tebta (Peixe) + Kruk (Monstro).,
Hatomōa,,Hipocampo / Cavalo-marinho,,Subst. Masc.,,,,,Hato (Cavalo) + Mōa (Água).,
Muiartē,,Manticora / Fera Suprema,,Subst. Fem.,,,,,Muia (Fera de Leão) + Artē (Supremo).,
Kiononsha,,Lobo das Neves (Típico do Norte),,Subst. Masc.,,,,,"Kiona (Neve) + Uonsha (Lobo). Fundidos sem ""a"".",
Ooni,,Coruja / Pássaro da noite,,Subst. Fem.,,,,,Raiz Copta pura para coruja (Oon).,
Kamafeto,,Erva Venenosa / Planta da Morte,,Subst. Fem.,,,,,Kama (Escuro) + Feto (Samambaia/Planta).,
Wotanuna,,Raiz Curativa Rara,,Subst. Fem.,,,,,Wota (Verde) + Nuna (Raiz).,
Grogkama,,Escorpião / Inseto Assassino,,Subst. Masc.,,,,,Grog (Inseto) + Kama (Escuro/Mortal).,
Alkahala,,Fênix / Pássaro de Cristal,,Subst. Fem.,,,,,Alka (Precioso) + Hala (Pássaro).,
Shēnkota,,Árvore de Fogo (Cujas folhas brilham),,Subst. Fem.,,,,,Shēn (Árvore) + Kota (Fogo).,
